    epoch            MJD    rv_4026  rv_4026_er    rv_4089  rv_4089_er    rv_4102  rv_4102_er    rv_4144  rv_4144_er    rv_4340  rv_4340_er    rv_4388  rv_4388_er    rv_4471  rv_4471_er    rv_4542  rv_4542_er  comp  sigma_rv    mean_rv  mean_rv_er
 star01_1 58064.91193632   1.891434    0.853373   7.216359    7.448050   7.409092    1.460277   5.779037    2.288246   0.925559    0.790117   2.466985    1.551676   5.218858    0.734468   3.988826    2.655172     1  2.286304   3.306962    0.406092
 star01_2 58070.03966321  40.136338    0.913942  48.082161    7.448225  44.752912    1.512666  44.566441    2.897652  38.826913    0.836727  38.919861    1.935920  42.422937    0.824454  51.547563    2.735727     1  4.236144  41.197654    0.444058
 star01_3 58177.06613246 -24.836559    0.883405 -23.736725    7.457615 -16.375495    1.459441 -20.618871    2.683794 -26.153480    0.808887 -19.738623    1.663056 -24.943114    0.771317 -23.104359    2.676875     1  3.068265 -24.040752    0.421898
 star01_4 58228.92679435  43.804953    0.942228  53.712346    7.444726  45.252422    1.540501  42.848324    2.953420  43.694962    0.834104  46.051493    1.841217  45.399053    0.847525  49.375787    2.676844     1  3.378078  44.650402    0.449716
 star01_5 58416.99220426  39.324943    0.974722  51.046375    7.449382  45.629208    1.531456  43.177638    2.745392  39.173581    0.813825  40.683596    1.758012  43.218599    0.827918  48.788596    2.613711     1  4.070591  41.433569    0.444189
 star01_6 58583.02960277   6.498343    0.854107  10.409724    7.456479  13.173943    1.417917   4.381975    2.458289   5.049717    0.796187   2.947217    1.610780   6.145715    0.729163  10.589279    2.678233     1  3.343168   6.381316    0.407069
 star01_7 58637.98163992  42.044686    0.952363  50.872065    7.438927  44.243019    1.560313  47.147042    2.751050  40.715136    0.829826  44.232751    1.809261  45.002038    0.837824  45.360275    2.589749     1  2.903834  43.082095    0.447443
 star01_8 58666.13039641  19.824978    0.887471  27.839232    7.442544  23.807982    1.481687  18.139856    2.901096  19.935034    0.817012  18.833518    1.711986  20.876438    0.773817  30.295705    2.573048     1  4.180175  20.716404    0.425535
 star01_9 58699.07521445  31.615952    0.941512  39.468432    7.447209  33.416201    1.535288  28.362900    2.681381  30.159823    0.804288  28.855924    1.802503  33.170753    0.777202  40.772708    2.622389     1  4.340233  31.850456    0.431771
star01_10 58901.22911496 -16.761772    0.880929 -15.857436    7.447683 -10.453424    1.454921 -15.282053    2.360196 -17.528829    0.783992 -13.132260    1.674523 -16.830628    0.715672 -16.146319    2.485745     1  2.197790 -16.221242    0.406343
star01_11 58920.96908552  37.015088    0.982769  46.433262    7.447516  42.762386    1.495152  41.028289    2.830162  37.271884    0.828268  43.861249    1.812067  41.602668    0.844286  37.902322    2.689595     1  3.173113  39.502361    0.450427
star01_12 58943.08489046 -31.304984    0.876955 -34.016621    7.450205 -22.322629    1.510506 -29.478441    2.941177 -32.706856    0.820868 -29.607017    1.754945 -33.224241    0.788821 -36.434431    2.537315     1  3.968454 -31.545868    0.428613
