epoch,MJD,mean_rv,mean_rv_er,comp
synth_spectra/synthetic_case2_SB2_01,58064.91193631773,80.26939329420216,4.781882868381641,1
synth_spectra/synthetic_case2_SB2_02,58070.03966321,-83.21127078870153,5.606224594622293,1
synth_spectra/synthetic_case2_SB2_03,58177.06613245756,-72.85622092207464,4.770069521088744,1
synth_spectra/synthetic_case2_SB2_04,58228.926794351915,-88.3424126711737,5.21668752680381,1
synth_spectra/synthetic_case2_SB2_05,58416.99220426279,-92.61095005412857,4.837985118371378,1
synth_spectra/synthetic_case2_SB2_06,58583.0296027732,-99.93368329900791,4.923563381938611,1
synth_spectra/synthetic_case2_SB2_07,58637.981639923084,-11.542081863241005,11.271803713502766,1
synth_spectra/synthetic_case2_SB2_08,58666.13039641224,-84.95941734598722,5.429005589090978,1
synth_spectra/synthetic_case2_SB2_09,58699.07521445375,-103.21380893079674,5.1437119232830275,1
synth_spectra/synthetic_case2_SB2_10,58901.229114957554,67.14034055635047,5.058695035472352,1
synth_spectra/synthetic_case2_SB2_11,58920.969085524346,5.301524150550462,7.778977552710758,1
synth_spectra/synthetic_case2_SB2_12,58943.0848904566,74.17789801406504,4.829081318960652,1
synth_spectra/synthetic_case2_SB2_01,58064.91193631773,-113.30159855236562,13.636969314239328,2
synth_spectra/synthetic_case2_SB2_02,58070.03966321,98.80630130600687,14.825123743704664,2
synth_spectra/synthetic_case2_SB2_03,58177.06613245756,78.05058622504963,13.908089050572393,2
synth_spectra/synthetic_case2_SB2_04,58228.926794351915,113.32249616748844,13.86884012712619,2
synth_spectra/synthetic_case2_SB2_05,58416.99220426279,109.73135209497407,15.124676413317706,2
synth_spectra/synthetic_case2_SB2_06,58583.0296027732,122.01406507906653,13.16094626194555,2
synth_spectra/synthetic_case2_SB2_07,58637.981639923084,-6.050582308918321,30.027495428500362,2
synth_spectra/synthetic_case2_SB2_08,58666.13039641224,100.92100921098528,14.139975443450805,2
synth_spectra/synthetic_case2_SB2_09,58699.07521445375,126.8997646636215,13.976001128551156,2
synth_spectra/synthetic_case2_SB2_10,58901.229114957554,-98.13313897732075,14.231584701103232,2
synth_spectra/synthetic_case2_SB2_11,58920.969085524346,2.0393353885299192,20.383468969985213,2
synth_spectra/synthetic_case2_SB2_12,58943.0848904566,-106.42432600306388,13.891391652343946,2
