# Synthetic disentangled spectrum for the MINATO SPAN tutorial.
# Generated from PoWR GAL-OB-Vd3 models 32-40 and 22-42; see provenance.json.
# wavelength_A normalised_flux marginal_flux_error_1sigma
3980.000000 0.99084338 0.00136032
3980.033190 0.99274786 0.00152280
3980.066380 0.99302707 0.00143388
3980.099570 0.99316407 0.00135822
3980.132761 0.99361653 0.00127182
3980.165952 0.99088497 0.00159526
3980.199143 0.99164814 0.00151082
3980.232334 0.99297387 0.00128712
3980.265526 0.99370489 0.00149851
3980.298718 0.98106505 0.00203439
3980.331910 0.98821616 0.00194579
3980.365103 0.98923374 0.00209764
3980.398295 0.98833248 0.00189920
3980.431489 0.98600298 0.00177757
3980.464682 0.98569262 0.00181518
3980.497876 0.98748073 0.00164645
3980.531069 0.98774841 0.00184548
3980.564264 0.98727673 0.00189218
3980.597458 0.98921052 0.00184448
3980.630653 0.98799505 0.00186739
3980.663848 0.98689674 0.00185541
3980.697043 0.99052679 0.00193914
3980.730239 0.98762017 0.00209560
3980.763435 0.98067979 0.00290046
3980.796631 0.97836717 0.00256012
3980.829827 0.97567211 0.00284911
3980.863024 0.98052863 0.00239648
3980.896221 0.97981216 0.00311671
3980.929418 0.97808629 0.00290849
3980.962616 0.97829062 0.00319379
3980.995813 0.97273588 0.00299132
3981.029011 0.97408789 0.00324391
3981.062210 0.98135383 0.00308904
3981.095408 0.97689857 0.00269557
3981.128607 0.98213713 0.00301073
3981.161807 0.97828232 0.00291809
3981.195006 0.98000267 0.00327138
3981.228206 0.97961179 0.00259636
3981.261406 0.98083985 0.00293527
3981.294606 0.97808126 0.00306799
3981.327807 0.97647748 0.00298968
3981.361007 0.97833072 0.00268288
3981.394208 0.98071851 0.00307262
3981.427410 0.97588931 0.00308703
3981.460612 0.98033321 0.00351605
3981.493814 0.98143771 0.00309529
3981.527016 0.97867712 0.00313350
3981.560218 0.97984062 0.00280286
3981.593421 0.97898937 0.00315264
3981.626624 0.97805956 0.00309352
3981.659827 0.97429497 0.00273934
3981.693031 0.97906674 0.00313876
3981.726235 0.97802769 0.00320914
3981.759439 0.97770482 0.00334485
3981.792643 0.97673349 0.00322447
3981.825848 0.97082955 0.00308253
3981.859053 0.96960041 0.00280983
3981.892258 0.97135763 0.00289559
3981.925464 0.97439447 0.00313608
3981.958670 0.96663781 0.00276743
3981.991876 0.96655435 0.00308580
3982.025082 0.97002770 0.00306338
3982.058289 0.97212084 0.00290570
3982.091496 0.96466825 0.00333088
3982.124703 0.96718592 0.00310660
3982.157911 0.96792123 0.00290494
3982.191118 0.96795235 0.00332796
3982.224326 0.97004509 0.00314102
3982.257535 0.95823492 0.00329941
3982.290743 0.96648523 0.00331017
3982.323952 0.96636724 0.00324837
3982.357161 0.95858486 0.00328082
3982.390371 0.96041197 0.00333110
3982.423580 0.96050336 0.00325804
3982.456790 0.96703295 0.00293281
3982.490001 0.95826600 0.00320191
3982.523211 0.95894463 0.00340143
3982.556422 0.96441893 0.00313435
3982.589633 0.96517505 0.00290911
3982.622844 0.95992367 0.00372106
3982.656056 0.96310086 0.00332656
3982.689268 0.96602785 0.00312641
3982.722480 0.96950233 0.00331904
3982.755693 0.96350992 0.00285743
3982.788905 0.96667940 0.00260382
3982.822118 0.96820859 0.00299444
3982.855332 0.96184905 0.00317334
3982.888545 0.96213492 0.00290971
3982.921759 0.96092119 0.00311571
3982.954973 0.96978074 0.00326104
3982.988188 0.96486097 0.00322210
3983.021402 0.96708556 0.00299376
3983.054617 0.96849198 0.00339959
3983.087833 0.96468771 0.00340645
3983.121048 0.96704695 0.00338069
3983.154264 0.96673023 0.00352140
3983.187480 0.96900645 0.00332660
3983.220696 0.96681586 0.00313267
3983.253913 0.96755494 0.00342305
3983.287130 0.96976450 0.00321743
3983.320347 0.97067308 0.00301675
3983.353564 0.97417436 0.00276754
3983.386782 0.97784783 0.00343845
3983.420000 0.97629957 0.00357560
3983.453218 0.97809543 0.00318134
3983.486437 0.97788627 0.00343953
3983.519656 0.97935388 0.00355054
3983.552875 0.97946239 0.00358435
3983.586094 0.98022078 0.00367029
3983.619314 0.98024626 0.00338649
3983.652534 0.98212369 0.00308656
3983.685754 0.98260410 0.00317788
3983.718975 0.98444853 0.00278601
3983.752196 0.98220688 0.00301006
3983.785417 0.98293831 0.00310491
3983.818638 0.98714332 0.00338592
3983.851860 0.99145884 0.00354521
3983.885081 0.99288975 0.00314943
3983.918304 0.98794945 0.00327241
3983.951526 0.98658186 0.00297843
3983.984749 0.98756684 0.00329745
3984.017972 0.98356290 0.00314944
3984.051195 0.98289188 0.00319138
3984.084419 0.98531364 0.00337212
3984.117642 0.98564833 0.00285598
3984.150866 0.98856882 0.00330105
3984.184091 0.99393702 0.00313044
3984.217316 0.98919571 0.00320126
3984.250540 0.98732840 0.00291124
3984.283766 0.98478140 0.00316889
3984.316991 0.98213525 0.00331758
3984.350217 0.98557000 0.00275205
3984.383443 0.98160990 0.00309123
3984.416669 0.98658168 0.00308757
3984.449896 0.98781749 0.00328280
3984.483123 0.99280030 0.00333147
3984.516350 0.99592998 0.00304470
3984.549577 0.99361210 0.00312893
3984.582805 0.98849721 0.00328782
3984.616033 0.98953174 0.00348728
3984.649261 0.98661672 0.00324225
3984.682490 0.98614972 0.00311503
3984.715719 0.99236286 0.00313665
3984.748948 0.99056533 0.00285058
3984.782177 0.99300251 0.00320841
3984.815407 0.98950603 0.00330934
3984.848637 0.99128004 0.00304757
3984.881867 0.98941628 0.00329520
3984.915097 0.99413308 0.00308131
3984.948328 0.99100539 0.00322390
3984.981559 0.98847194 0.00308190
3985.014790 0.99599942 0.00332597
3985.048022 0.99243096 0.00319888
3985.081254 0.99011986 0.00324400
3985.114486 0.99415768 0.00305338
3985.147718 0.99164189 0.00300006
3985.180951 0.99544924 0.00338756
3985.214184 0.99489987 0.00280528
3985.247417 0.98788128 0.00305821
3985.280651 0.99110916 0.00307667
3985.313885 0.99430610 0.00329980
3985.347119 0.99031530 0.00298255
3985.380353 0.98365941 0.00340992
3985.413588 0.99281922 0.00336080
3985.446823 0.99729264 0.00352870
3985.480058 0.99551032 0.00318329
3985.513293 0.99424739 0.00350076
3985.546529 0.99334065 0.00345454
3985.579765 0.98849404 0.00295075
3985.613001 0.98745155 0.00313459
3985.646238 0.99524637 0.00384572
3985.679475 0.99963961 0.00339399
3985.712712 0.99372509 0.00331229
3985.745949 0.99216719 0.00347430
3985.779187 0.99411613 0.00340192
3985.812425 0.99154864 0.00333251
3985.845663 0.99819194 0.00334627
3985.878902 0.99496549 0.00361770
3985.912140 0.99192980 0.00338115
3985.945380 0.98848570 0.00321788
3985.978619 0.99104931 0.00317761
3986.011859 0.99284763 0.00287716
3986.045098 0.99329631 0.00338622
3986.078339 0.99233517 0.00319973
3986.111579 0.98829651 0.00325835
3986.144820 0.98819585 0.00322272
3986.178061 0.99276637 0.00348561
3986.211302 0.99172993 0.00341746
3986.244544 0.99083013 0.00292601
3986.277785 0.99560615 0.00332248
3986.311028 0.99288571 0.00313724
3986.344270 0.99497206 0.00352492
3986.377513 0.99229309 0.00366123
3986.410756 0.99227652 0.00341360
3986.443999 0.99245802 0.00351954
3986.477242 0.99615468 0.00332819
3986.510486 0.99723073 0.00285445
3986.543730 0.99404513 0.00338295
3986.576975 0.99707234 0.00330339
3986.610219 0.99439784 0.00304970
3986.643464 0.99369603 0.00331957
3986.676709 0.99346143 0.00343007
3986.709955 0.99462177 0.00323367
3986.743200 0.99433072 0.00338089
3986.776446 0.99100257 0.00330955
3986.809693 0.99283024 0.00329564
3986.842939 0.99517391 0.00334440
3986.876186 0.99344120 0.00347327
3986.909433 0.98961861 0.00318256
3986.942680 0.98422895 0.00315971
3986.975928 0.99170162 0.00302026
3987.009176 0.99569080 0.00292741
3987.042424 0.99756381 0.00341674
3987.075673 0.99396976 0.00323700
3987.108922 0.99426947 0.00374185
3987.142171 0.99318944 0.00323780
3987.175420 0.99216065 0.00311499
3987.208670 0.99251694 0.00275270
3987.241919 0.98753909 0.00318929
3987.275170 0.99088576 0.00341820
3987.308420 0.99135224 0.00277258
3987.341671 0.99804725 0.00306582
3987.374922 0.99471874 0.00335936
3987.408173 0.99640521 0.00325994
3987.441425 0.99415388 0.00392205
3987.474676 0.99338945 0.00327578
3987.507928 0.98817938 0.00319778
3987.541181 0.98664608 0.00335293
3987.574433 0.99153665 0.00340035
3987.607686 0.98716965 0.00293321
3987.640940 0.99026905 0.00322968
3987.674193 0.99120389 0.00320034
3987.707447 1.00422431 0.00308347
3987.740701 0.99937310 0.00301919
3987.773955 0.99571001 0.00325662
3987.807210 0.99306379 0.00337229
3987.840465 0.99260701 0.00342889
3987.873720 0.99621468 0.00306263
3987.906975 0.99494270 0.00290275
3987.940231 0.99452596 0.00347013
3987.973487 0.99243973 0.00346679
3988.006743 0.99397378 0.00318507
3988.040000 0.99157000 0.00282570
3988.073257 0.99468877 0.00346070
3988.106514 0.99233147 0.00331033
3988.139771 0.99021154 0.00340549
3988.173029 0.99365442 0.00356398
3988.206287 0.99266051 0.00307977
3988.239545 0.99012662 0.00316179
3988.272803 0.99432610 0.00328012
3988.306062 0.99164432 0.00292856
3988.339321 0.99515192 0.00269748
3988.372580 0.99450266 0.00363629
3988.405840 0.99286097 0.00340454
3988.439100 0.99302749 0.00310343
3988.472360 0.99641602 0.00294223
3988.505620 0.99713043 0.00331084
3988.538881 0.99773665 0.00348485
3988.572142 0.99652873 0.00323899
3988.605403 0.99385410 0.00303031
3988.638665 0.99298331 0.00318203
3988.671927 0.99040080 0.00316554
3988.705189 0.99660807 0.00334932
3988.738451 0.99784323 0.00289665
3988.771714 0.99581136 0.00305311
3988.804977 1.00022672 0.00324565
3988.838240 0.99337401 0.00347769
3988.871503 0.99610678 0.00353982
3988.904767 0.99602795 0.00336983
3988.938031 0.99992805 0.00314936
3988.971295 0.99450436 0.00360318
3989.004560 0.99207904 0.00368760
3989.037825 0.99438523 0.00364213
3989.071090 0.99694412 0.00260853
3989.104355 0.99816945 0.00357462
3989.137621 0.99624158 0.00330310
3989.170887 0.99303641 0.00325407
3989.204153 0.98967295 0.00359346
3989.237420 0.99052762 0.00305881
3989.270687 0.98977104 0.00346606
3989.303954 0.99975362 0.00319221
3989.337221 0.99271663 0.00315028
3989.370489 0.99068833 0.00317758
3989.403756 0.99151725 0.00318397
3989.437025 0.99644718 0.00302950
3989.470293 0.99622278 0.00283211
3989.503562 0.99782269 0.00332032
3989.536831 0.99306709 0.00294724
3989.570100 0.99338607 0.00346346
3989.603370 0.99892522 0.00327154
3989.636640 0.99576902 0.00347469
3989.669910 1.00186147 0.00304732
3989.703180 0.99787359 0.00332111
3989.736451 0.99583448 0.00300595
3989.769722 0.99635780 0.00283720
3989.802993 0.99402759 0.00330197
3989.836265 0.99102945 0.00329850
3989.869536 0.99213979 0.00331313
3989.902808 0.99322351 0.00317060
3989.936081 0.99620308 0.00363699
3989.969353 0.99553252 0.00330598
3990.002626 0.99767586 0.00347439
3990.035899 0.99405589 0.00335746
3990.069173 0.99381654 0.00292467
3990.102447 0.99664644 0.00293308
3990.135721 0.99436580 0.00329863
3990.168995 0.99117131 0.00301013
3990.202269 0.99931373 0.00331041
3990.235544 0.99507413 0.00335933
3990.268819 0.99274977 0.00291650
3990.302095 0.99345478 0.00338057
3990.335371 1.00001824 0.00351942
3990.368646 0.99955317 0.00321417
3990.401923 0.99319949 0.00324586
3990.435199 0.99340831 0.00315259
3990.468476 0.99687291 0.00326875
3990.501753 0.99591522 0.00350552
3990.535030 0.99610947 0.00366884
3990.568308 0.99928198 0.00346155
3990.601586 0.99514706 0.00349159
3990.634864 0.99955024 0.00332483
3990.668143 0.99968863 0.00328228
3990.701421 0.99918985 0.00339912
3990.734700 0.99565145 0.00290909
3990.767980 0.99827495 0.00314367
3990.801259 0.99398749 0.00309311
3990.834539 0.99501793 0.00321825
3990.867819 0.99277838 0.00304597
3990.901099 0.99594416 0.00297756
3990.934380 0.99448118 0.00366589
3990.967661 0.99640591 0.00343267
3991.000942 1.00126576 0.00312507
3991.034224 0.99409478 0.00320101
3991.067506 1.00451720 0.00315390
3991.100788 0.99536131 0.00357067
3991.134070 0.99508889 0.00260742
3991.167353 0.99697248 0.00305195
3991.200636 0.99928974 0.00349434
3991.233919 0.98930887 0.00269236
3991.267202 0.99069192 0.00258632
3991.300486 0.99567832 0.00330570
3991.333770 0.99984441 0.00294634
3991.367054 0.99718372 0.00338343
3991.400339 0.99456072 0.00330316
3991.433624 0.99352197 0.00321119
3991.466909 0.99257550 0.00315663
3991.500194 0.99265275 0.00318562
3991.533480 0.99402109 0.00320490
3991.566766 0.98833798 0.00334648
3991.600052 0.99172437 0.00336040
3991.633338 0.99794423 0.00376090
3991.666625 0.99927645 0.00315028
3991.699912 1.00306584 0.00304251
3991.733200 0.99944475 0.00300494
3991.766487 0.99624453 0.00308051
3991.799775 0.99589200 0.00335378
3991.833063 0.99613165 0.00362520
3991.866352 0.99051476 0.00366504
3991.899640 0.99400715 0.00293407
3991.932929 0.99787193 0.00308185
3991.966219 0.99473980 0.00309705
3991.999508 0.99190969 0.00341081
3992.032798 0.99214591 0.00349086
3992.066088 0.99427886 0.00265983
3992.099379 0.99407375 0.00292768
3992.132669 0.99745354 0.00320561
3992.165960 0.99133792 0.00330380
3992.199251 0.99551969 0.00326199
3992.232543 0.99470533 0.00316633
3992.265835 0.99481398 0.00297456
3992.299127 0.99848514 0.00348831
3992.332419 0.99173979 0.00337385
3992.365712 0.99208200 0.00343733
3992.399005 0.99532679 0.00308030
3992.432298 1.00450961 0.00264255
3992.465591 0.98900038 0.00300737
3992.498885 0.98894404 0.00332628
3992.532179 0.99585199 0.00325103
3992.565473 0.99461896 0.00320905
3992.598768 0.99712803 0.00305966
3992.632062 1.00011710 0.00353728
3992.665358 0.99574647 0.00315983
3992.698653 0.99184300 0.00322283
3992.731949 0.99326493 0.00350004
3992.765245 0.99832605 0.00307315
3992.798541 1.00194145 0.00290854
3992.831837 0.99789653 0.00302771
3992.865134 0.99430934 0.00324349
3992.898431 1.00406084 0.00300040
3992.931728 0.99685653 0.00299385
3992.965026 0.99728156 0.00350921
3992.998324 0.99528602 0.00321329
3993.031622 0.99140019 0.00323445
3993.064921 0.99993252 0.00331132
3993.098219 0.99825685 0.00352225
3993.131518 0.99308275 0.00299113
3993.164818 0.99872385 0.00334025
3993.198117 0.99919478 0.00320361
3993.231417 1.00097692 0.00331361
3993.264717 0.99888687 0.00336686
3993.298017 0.99700714 0.00345838
3993.331318 0.99288516 0.00313175
3993.364619 0.99756938 0.00344317
3993.397920 0.99492988 0.00341669
3993.431222 1.00214338 0.00334732
3993.464523 0.99634245 0.00308333
3993.497825 0.99795182 0.00318072
3993.531128 0.99730807 0.00312447
3993.564430 0.99608354 0.00306192
3993.597733 0.99393576 0.00288998
3993.631036 0.99503945 0.00311202
3993.664340 0.98925596 0.00315182
3993.697644 0.98934612 0.00308521
3993.730948 0.99089456 0.00306880
3993.764252 0.99364732 0.00351038
3993.797556 0.99698562 0.00308812
3993.830861 1.00113830 0.00327775
3993.864166 0.99834830 0.00330062
3993.897472 0.99474022 0.00318085
3993.930777 0.99193678 0.00323858
3993.964083 0.99277477 0.00362620
3993.997390 0.99100909 0.00350830
3994.030696 0.99031983 0.00303876
3994.064003 0.99399800 0.00330726
3994.097310 0.99009866 0.00293772
3994.130617 0.98807283 0.00314368
3994.163925 0.98446216 0.00308431
3994.197233 0.98352981 0.00353082
3994.230541 0.98036601 0.00347571
3994.263849 0.98129807 0.00322802
3994.297158 0.97663459 0.00326297
3994.330467 0.97867118 0.00317406
3994.363776 0.98153874 0.00363421
3994.397086 0.98141003 0.00298088
3994.430396 0.98060150 0.00326172
3994.463706 0.97643668 0.00299222
3994.497016 0.97428609 0.00300789
3994.530327 0.96978730 0.00369453
3994.563638 0.97662216 0.00330355
3994.596949 0.97396348 0.00308650
3994.630260 0.97336587 0.00296017
3994.663572 0.96907303 0.00280501
3994.696884 0.97381682 0.00304909
3994.730197 0.97157665 0.00304453
3994.763509 0.97287778 0.00342687
3994.796822 0.97076200 0.00328124
3994.830135 0.97519159 0.00338918
3994.863449 0.97293097 0.00350763
3994.896762 0.96832745 0.00342341
3994.930076 0.97709495 0.00339021
3994.963391 0.96985689 0.00401658
3994.996705 0.96921050 0.00301612
3995.030020 0.96898652 0.00335171
3995.063335 0.97075600 0.00341070
3995.096650 0.97091921 0.00308525
3995.129966 0.97228223 0.00306717
3995.163282 0.96512757 0.00302616
3995.196598 0.96930795 0.00293753
3995.229915 0.96732976 0.00312932
3995.263232 0.97081961 0.00341135
3995.296549 0.97584911 0.00322029
3995.329866 0.97841910 0.00337435
3995.363183 0.97695846 0.00340760
3995.396501 0.96926403 0.00348229
3995.429820 0.97222527 0.00328897
3995.463138 0.97055345 0.00293373
3995.496457 0.97546266 0.00334934
3995.529776 0.98220548 0.00299468
3995.563095 0.97581383 0.00303690
3995.596414 0.97342836 0.00377833
3995.629734 0.98234206 0.00340593
3995.663054 0.97746404 0.00334290
3995.696375 0.97392497 0.00350924
3995.729695 0.98005233 0.00360279
3995.763016 0.98265702 0.00330792
3995.796338 0.98339016 0.00318348
3995.829659 0.98249061 0.00312424
3995.862981 0.98114180 0.00330040
3995.896303 0.99091232 0.00296813
3995.929625 0.98631986 0.00331452
3995.962948 0.99649047 0.00285583
3995.996271 0.99331146 0.00327698
3996.029594 0.99174019 0.00337078
3996.062917 0.99784464 0.00355808
3996.096241 0.98900036 0.00340375
3996.129565 0.99607609 0.00293457
3996.162889 0.99770592 0.00303855
3996.196214 0.99409758 0.00359798
3996.229539 0.99845955 0.00321948
3996.262864 1.00197539 0.00344120
3996.296189 1.00043061 0.00320985
3996.329515 0.99673273 0.00325646
3996.362841 0.99730251 0.00307282
3996.396167 0.99403800 0.00335410
3996.429494 0.99476830 0.00312377
3996.462820 0.99256492 0.00320137
3996.496147 0.99442801 0.00341243
3996.529475 0.99756231 0.00348377
3996.562802 0.99840610 0.00337181
3996.596130 0.99551539 0.00395315
3996.629458 0.99620701 0.00368228
3996.662787 0.99645112 0.00296870
3996.696115 0.99408475 0.00299517
3996.729444 0.99747205 0.00351146
3996.762774 0.98977239 0.00368200
3996.796103 0.99170102 0.00306146
3996.829433 0.99471056 0.00358675
3996.862763 0.99888406 0.00345024
3996.896094 0.99975360 0.00319126
3996.929424 0.99768205 0.00340526
3996.962755 1.00295792 0.00356309
3996.996086 0.99960977 0.00359359
3997.029418 0.99680199 0.00316595
3997.062750 0.99555544 0.00323779
3997.096082 0.99314772 0.00323735
3997.129414 0.98956297 0.00360818
3997.162747 0.99222377 0.00341934
3997.196080 0.99519879 0.00350715
3997.229413 0.99560702 0.00301914
3997.262746 0.99545596 0.00342408
3997.296080 0.99979981 0.00319564
3997.329414 0.99992545 0.00353347
3997.362748 0.99042333 0.00348991
3997.396083 0.99548842 0.00313185
3997.429418 0.99856621 0.00295123
3997.462753 0.99695230 0.00293850
3997.496088 0.99540840 0.00337040
3997.529424 0.99512362 0.00340970
3997.562760 0.99295275 0.00324262
3997.596096 0.99130421 0.00316645
3997.629432 0.99111502 0.00326400
3997.662769 0.99092817 0.00317807
3997.696106 0.99171114 0.00365326
3997.729444 0.99688479 0.00356484
3997.762781 0.99791173 0.00272739
3997.796119 0.98918463 0.00316719
3997.829457 0.99009933 0.00315623
3997.862796 0.99161204 0.00313638
3997.896135 0.98541250 0.00340959
3997.929474 0.99152353 0.00352942
3997.962813 0.99134792 0.00324982
3997.996152 0.98345027 0.00313701
3998.029492 0.98415551 0.00329118
3998.062832 0.98392139 0.00304633
3998.096173 0.98659837 0.00320233
3998.129513 0.98718153 0.00321716
3998.162854 0.98907013 0.00353054
3998.196196 0.98497537 0.00341091
3998.229537 0.98511189 0.00373722
3998.262879 0.98263948 0.00323981
3998.296221 0.97548523 0.00359135
3998.329563 0.98564533 0.00311350
3998.362906 0.97968042 0.00305330
3998.396249 0.98129342 0.00303649
3998.429592 0.98274309 0.00329726
3998.462935 0.97552643 0.00295249
3998.496279 0.98101169 0.00274288
3998.529623 0.98173696 0.00299926
3998.562967 0.98455415 0.00307179
3998.596312 0.98451886 0.00374284
3998.629657 0.98200615 0.00331142
3998.663002 0.98573227 0.00284242
3998.696347 0.98508074 0.00367979
3998.729693 0.97995866 0.00356611
3998.763039 0.97029652 0.00341536
3998.796385 0.97832834 0.00362400
3998.829732 0.98317942 0.00315792
3998.863079 0.98547597 0.00396718
3998.896426 0.98148715 0.00328698
3998.929773 0.98389487 0.00321913
3998.963121 0.98395872 0.00276148
3998.996468 0.98262585 0.00326464
3999.029817 0.97988162 0.00374016
3999.063165 0.97954650 0.00312998
3999.096514 0.97897831 0.00336447
3999.129863 0.98564589 0.00279382
3999.163212 0.98579688 0.00322323
3999.196562 0.98689473 0.00350597
3999.229912 0.98083436 0.00353215
3999.263262 0.98422196 0.00361901
3999.296612 0.98378249 0.00358733
3999.329963 0.98701175 0.00367352
3999.363314 0.98204594 0.00308450
3999.396665 0.98735601 0.00309779
3999.430016 0.99485949 0.00363308
3999.463368 0.99057881 0.00299183
3999.496720 0.99002038 0.00288364
3999.530073 0.99433237 0.00315667
3999.563425 0.98926367 0.00321117
3999.596778 0.99393771 0.00351914
3999.630131 0.99664665 0.00296464
3999.663485 0.98967038 0.00327841
3999.696839 0.98651633 0.00327104
3999.730193 0.99076880 0.00335429
3999.763547 0.99150107 0.00298383
3999.796902 0.99339292 0.00331126
3999.830256 0.99802217 0.00332953
3999.863612 0.99561873 0.00306374
3999.896967 1.00072684 0.00326580
3999.930323 0.99750771 0.00349401
3999.963679 0.99250078 0.00323538
3999.997035 0.99545123 0.00326323
4000.030391 0.99637359 0.00299666
4000.063748 0.99596796 0.00319269
4000.097105 0.99384889 0.00331975
4000.130463 0.99312910 0.00292085
4000.163820 0.98817234 0.00284632
4000.197178 0.99032182 0.00335149
4000.230536 0.99045741 0.00317750
4000.263895 0.99301159 0.00372584
4000.297254 0.99764623 0.00345522
4000.330613 0.99808505 0.00317979
4000.363972 0.99223353 0.00304128
4000.397331 0.99441000 0.00382320
4000.430691 0.99606205 0.00322986
4000.464051 0.99958390 0.00315283
4000.497412 0.99436112 0.00313026
4000.530773 0.99329646 0.00375961
4000.564134 0.99603679 0.00303414
4000.597495 0.99709632 0.00287273
4000.630856 0.99681314 0.00346429
4000.664218 0.99626667 0.00343828
4000.697580 0.99188567 0.00331901
4000.730943 0.99035765 0.00319362
4000.764305 0.98862209 0.00349318
4000.797668 0.99005186 0.00329357
4000.831031 0.98869710 0.00319844
4000.864395 0.99301174 0.00373830
4000.897759 1.00137747 0.00306170
4000.931123 1.00208735 0.00302718
4000.964487 0.99225204 0.00329575
4000.997852 0.99459199 0.00337005
4001.031216 0.99753587 0.00345852
4001.064582 0.99057365 0.00367925
4001.097947 0.99504960 0.00332743
4001.131313 0.99711003 0.00379923
4001.164679 0.99157329 0.00389686
4001.198045 0.99265552 0.00331452
4001.231411 0.99447058 0.00351626
4001.264778 0.99624347 0.00332236
4001.298145 0.98886623 0.00307841
4001.331513 0.99425625 0.00306722
4001.364880 0.99248854 0.00312880
4001.398248 0.99126362 0.00308151
4001.431617 0.99512853 0.00329202
4001.464985 0.99607370 0.00303303
4001.498354 0.99994933 0.00326544
4001.531723 0.99878871 0.00332536
4001.565092 0.99684775 0.00336163
4001.598462 0.99677091 0.00311539
4001.631832 0.99008144 0.00318507
4001.665202 0.98971383 0.00297635
4001.698572 0.99209673 0.00290861
4001.731943 0.99373429 0.00334354
4001.765314 0.99388725 0.00338373
4001.798685 0.99536150 0.00319294
4001.832057 0.99776070 0.00272010
