# Synthetic disentangled spectrum for the MINATO SPAN tutorial.
# Generated from PoWR GAL-OB-Vd3 models 32-40 and 22-42; see provenance.json.
# wavelength_A normalised_flux marginal_flux_error_1sigma
3980.000000 0.96248056 0.01891016
3980.033190 0.96163068 0.02195397
3980.066380 0.97277255 0.02051275
3980.099570 0.99511293 0.02157507
3980.132761 0.96348341 0.01829951
3980.165952 0.95274682 0.01947185
3980.199143 0.95068507 0.02102932
3980.232334 0.99987315 0.02303644
3980.265526 0.95177934 0.02311021
3980.298718 0.96817644 0.02101495
3980.331910 0.99069098 0.02014987
3980.365103 0.99555355 0.02049417
3980.398295 1.00030990 0.02177388
3980.431489 0.97822684 0.01756554
3980.464682 0.97060270 0.01937075
3980.497876 0.98291648 0.02081357
3980.531069 0.96243454 0.02234347
3980.564264 0.97534300 0.02014637
3980.597458 1.01060358 0.01972430
3980.630653 0.99836102 0.02364841
3980.663848 1.00402633 0.02039446
3980.697043 0.98554431 0.02222019
3980.730239 0.94880904 0.02584423
3980.763435 0.89738463 0.02220983
3980.796631 0.92528702 0.02524524
3980.829827 0.95352191 0.02675749
3980.863024 0.89698636 0.02318232
3980.896221 0.89714582 0.02313357
3980.929418 0.91746871 0.02783963
3980.962616 0.92998617 0.02244073
3980.995813 0.93365538 0.02116301
3981.029011 0.94230276 0.02273183
3981.062210 0.91642646 0.02609402
3981.095408 0.94116078 0.02201488
3981.128607 0.98287252 0.02281790
3981.161807 0.96883303 0.02203018
3981.195006 0.92062867 0.02243053
3981.228206 0.91707977 0.02281395
3981.261406 0.96442967 0.02280653
3981.294606 0.96420470 0.02209540
3981.327807 0.99515547 0.02455794
3981.361007 0.98367488 0.02301696
3981.394208 0.93472772 0.02586129
3981.427410 0.96124783 0.02516807
3981.460612 0.96681700 0.02395060
3981.493814 0.95526705 0.02620587
3981.527016 0.95690015 0.02372737
3981.560218 0.96496963 0.02339942
3981.593421 0.92477262 0.02423711
3981.626624 0.93923889 0.02176018
3981.659827 0.96893377 0.02224755
3981.693031 0.92655517 0.02618885
3981.726235 0.94852204 0.02437060
3981.759439 0.94046099 0.02170296
3981.792643 0.94073292 0.02351726
3981.825848 0.96455369 0.02150915
3981.859053 0.95255846 0.02183140
3981.892258 0.95417464 0.02652347
3981.925464 0.90116768 0.02741412
3981.958670 0.92317335 0.02407886
3981.991876 0.95837015 0.02501920
3982.025082 0.96306929 0.02432765
