 index BBC_epoch              HJD    rv_4026  rv_4026_er    rv_4144  rv_4144_er    rv_4388  rv_4388_er    mean_rv  mean_rv_er  sigma_rv
     0  009_OB01 2457299.74519203 332.541401    9.908424 351.306491    9.103889 324.526707    6.890977 333.872007    4.805125 11.222600
     1  009_OB02 2457332.73276862 333.721163    7.085511 331.351125    6.375832 334.811868    5.306700 333.476614    3.534914  1.444663
     2  009_OB03 2457335.78203741 261.769965    6.043398 279.534525    6.086828 266.118457    4.216979 268.315912    3.006857  7.560716
     3  009_OB04 2457339.69781362 226.136356    8.543599 240.503295    6.611702 225.799008    5.383074 230.595958    3.750685  6.853538
     4  009_OB05 2457339.77971552 217.054808    5.540621 241.701939    6.167979 221.555131    5.445223 225.691463    3.286442 10.716694
     5  009_OB06 2457366.72404262 286.440031    8.944558 281.316368    6.960049 269.504699    6.553136 277.576973    4.209689  7.091254
     6  009_OB07 2457379.55076078 339.177966    8.044883 343.466396    7.854146 333.111439    7.747098 338.524854    4.549044  4.248117
     7  009_OB08 2457394.65161933 288.764255    5.266967 301.420477    5.039892 291.679600    5.201339 294.156899    2.983011  5.411550
     8  009_OB09 2457398.72299659 329.278730    7.504531 326.143647    9.314524 315.191758    6.456656 322.257004    4.332708  6.038906
    10  009_OB11 2457402.60180030 314.247888    8.317946 320.295352    6.947662 327.645424    4.157503 323.926946    3.278700  5.478132
    13  009_OB14 2457415.54706064 232.442529    5.544351 252.620318    5.967525 236.632638    4.512134 239.481829    3.018828  8.694226
    14  009_OB15 2457416.55881760 310.365781    6.676063 318.764740    4.778805 320.542501    4.705760 317.793650    2.996324  4.438075
    15  009_OB16 2457417.56283914 322.526662    7.558509 330.906711    7.203430 328.314564    5.965270 327.523012    3.926023  3.503082
    16  009_OB17 2457418.61149589 256.812648    7.023234 289.980784    7.877485 256.466757    5.821999 264.769692    3.895729 15.717771
    17  009_OB18 2457420.62166437 271.747894    6.954749 290.414096    6.606369 282.194406    5.518885 281.832678    3.617419  7.638499
    18  009_OB19 2457421.69522909 318.819878    7.314496 340.167529    5.833776 335.828181    3.577298 334.319695    2.814756  9.212519
    19  009_OB20 2457423.59837470 239.602068    9.467060 241.037456    9.624059 246.340075    6.364599 243.500706    4.630399  2.897870
    20  009_OB21 2457427.60703335 283.091752    8.020237 285.911837    8.194993 303.209738    6.075905 293.295201    4.169397  8.893841
    21  009_OB22 2457432.51692735 275.682867    8.238745 262.480707    7.256677 277.353629    5.361629 272.871701    3.820562  6.652421
    25  009_OB26 2457692.74277552 214.118067    7.664320 237.177852    8.097834 226.552122    4.548983 225.936310    3.522386  9.423762
    26  009_OB27 2457698.74764262 276.388450   12.663770 301.543996   10.087932 272.805322    5.203054 278.555069    4.343689 12.786937
    27  009_OB28 2457724.70696387 271.019196    7.835430 289.206602    6.893194 271.098492    4.293303 275.245445    3.304348  8.554997
    28  009_OB29 2457726.70982698 228.255947    9.378630 259.661687    7.819422 259.147458    6.249556 252.719372    4.330359 14.685103
