line,param,value,min,max
4026,'continuum_slope',0,-inf,inf
4026,'continuum_intercept',1,0.9,inf
4026,'g1_amp',0.3060738674802662,0.05,0.4
4026,'g1_cen',4030,-inf,inf
4026,'g1_wid',4,0.5,7.0
4102,'continuum_slope',0,-inf,inf
4102,'continuum_intercept',1,0.9,inf
4102,'l1_amp',0.6027562000125085,0.01,2.0
4102,'l1_cen',4105,4101,4109
4102,'l1_wid',7,1,11
4102,'neb_amp',0.545137639314981,0.01,inf
4102,'neb_cen',4105.5,-inf,inf
4102,'neb_wid',1,-inf,inf
4144,'continuum_slope',0,-inf,inf
4144,'continuum_intercept',1,0.9,inf
4144,'g1_amp',0.208785990290569,0.05,0.4
4144,'g1_cen',4147,-inf,inf
4144,'g1_wid',3,0.5,7.0
4340,'continuum_slope',0,-inf,inf
4340,'continuum_intercept',1,0.9,inf
4340,'l1_amp',0.5532232270840969,0.01,2.0
4340,'l1_cen',4345,4341,4349
4340,'l1_wid',7,1,11
4340,'neb_amp',1.1429284522273324,0.01,inf
4340,'neb_cen',4344.5,-inf,inf
4340,'neb_wid',1,-inf,inf
4388,'continuum_slope',0,-inf,inf
4388,'continuum_intercept',1,0.9,inf
4388,'g1_amp',0.19045625758090357,0.05,0.4
4388,'g1_cen',4392,-inf,inf
4388,'g1_wid',4,0.5,7.0
4471,'continuum_slope',0,-inf,inf
4471,'continuum_intercept',1,0.9,inf
4471,'g1_amp',0.1704916182674694,0.05,0.4
4471,'g1_cen',4475,-inf,inf
4471,'g1_wid',4,0.5,7.0
4553,'continuum_slope',0,-inf,inf
4553,'continuum_intercept',1,0.9,inf
4553,'g1_amp',0.0794400562156432,0.05,0.4
4553,'g1_cen',4556.5,-inf,inf
4553,'g1_wid',1.0,0.3,2.0
