 index BBC_epoch              HJD    rv_4026  rv_4026_er    rv_4102  rv_4102_er    rv_4144  rv_4144_er    rv_4340  rv_4340_er    rv_4388  rv_4388_er    rv_4471  rv_4471_er    mean_rv  mean_rv_er  sigma_rv
     0  009_OB01 2457299.74519203 332.541401    9.908424 309.741171    6.755730 351.306491    9.103889 319.171068    6.318024 324.526707    6.890977 321.275121    8.436670 323.577106    3.096079 13.023014
     1  009_OB02 2457332.73276862 333.721163    7.085511 330.634386    6.141669 331.351125    6.375832 338.391134    5.915505 334.811868    5.306700 317.928459    6.152432 331.336727    2.488097  6.423512
     2  009_OB03 2457335.78203741 261.769965    6.043398 275.673080    4.738429 279.534525    6.086828 281.617822    4.607364 266.118457    4.216979 254.542730    5.935647 270.758616    2.082274  9.829375
     3  009_OB04 2457339.69781362 226.136356    8.543599 227.254693    6.286854 240.503295    6.611702 234.606667    6.596063 225.799008    5.383074 198.453778    6.172933 224.855638    2.620592 13.185166
     4  009_OB05 2457339.77971552 217.054808    5.540621 241.316805    5.895484 241.701939    6.167979 245.533728    4.132739 221.555131    5.445223 199.412661    5.149169 228.541285    2.143616 16.586858
     5  009_OB06 2457366.72404262 286.440031    8.944558 278.570835    5.715459 281.316368    6.960049 282.213546    5.770443 269.504699    6.553136 261.094548    9.572047 277.497102    2.795226  8.613879
     6  009_OB07 2457379.55076078 339.177966    8.044883 296.540550    6.998958 343.466396    7.854146 318.704488    7.268108 333.111439    7.747098 330.873331    5.579856 326.185929    2.889322 15.643893
     7  009_OB08 2457394.65161933 288.764255    5.266967 292.484111    4.350476 301.420477    5.039892 307.408858    4.612593 291.679600    5.201339 284.273548    7.812581 295.786600    2.091516  7.787518
     8  009_OB09 2457398.72299659 329.278730    7.504531 307.697910    6.673116 326.143647    9.314524 334.398729    6.296453 315.191758    6.456656 344.446506    7.876239 325.135664    2.922654 12.063335
    10  009_OB11 2457402.60180030 314.247888    8.317946 324.001240    5.478626 320.295352    6.947662 329.658409    4.878490 327.645424    4.157503 322.610152    5.208687 324.875994    2.207462  5.015782
    13  009_OB14 2457415.54706064 232.442529    5.544351 245.862715    5.649620 252.620318    5.967525 250.187679    4.744706 236.632638    4.512134 225.769245    5.042352 240.087417    2.109072  9.715470
    14  009_OB15 2457416.55881760 310.365781    6.676063 305.200707    4.784399 318.764740    4.778805 319.178372    5.258637 320.542501    4.705760 311.505846    6.393097 314.762080    2.153157  5.609129
    15  009_OB16 2457417.56283914 322.526662    7.558509 317.754887    5.808606 330.906711    7.203430 333.658530    6.279637 328.314564    5.965270 325.298719   11.414046 326.339205    2.800003  5.285439
    16  009_OB17 2457418.61149589 256.812648    7.023234 271.450713    5.290263 289.980784    7.877485 276.084022    5.207504 256.466757    5.821999 235.011990    7.531738 265.611114    2.530831 17.438971
    17  009_OB18 2457420.62166437 271.747894    6.954749 273.882096    5.878724 290.414096    6.606369 278.345145    4.875265 282.194406    5.518885 265.360100    6.701248 277.450707    2.427526  7.974145
    18  009_OB19 2457421.69522909 318.819878    7.314496 326.171398    5.367058 340.167529    5.833776 323.730245    4.150056 335.828181    3.577298 328.917692    5.478794 330.048415    1.990826  7.196394
    19  009_OB20 2457423.59837470 239.602068    9.467060 250.343514    5.826625 241.037456    9.624059 255.417856    5.730412 246.340075    6.364599 219.505492    8.746954 245.597732    2.891343 11.410220
    20  009_OB21 2457427.60703335 283.091752    8.020237 295.725863    6.409433 285.911837    8.194993 315.272225    6.867281 303.209738    6.075905 293.841844    9.971241 297.986120    2.973121 10.772966
    21  009_OB22 2457432.51692735 275.682867    8.238745 280.168288    5.757261 262.480707    7.256677 290.824951    6.709255 277.353629    5.361629 265.808912    9.460939 276.961074    2.751727  9.340400
    22  009_OB23 2457622.86560142 274.629756   17.912099 246.375069    8.816339 248.992186   15.622670 247.454102    7.677410 240.692063    8.555434 210.842743    8.348179 239.144437    3.920636 18.649748
    24  009_OB25 2457681.71006089 308.151527   10.559162 297.978856    6.037419 312.990263   26.654218 307.517113    4.869494 314.142271    5.331403 301.925500    4.625978 305.809258    2.485324  5.708726
    25  009_OB26 2457692.74277552 214.118067    7.664320 235.563036    6.280035 237.177852    8.097834 235.501140    4.886752 226.552122    4.548983 202.879016    4.821421 224.116773    2.289058 12.778762
    26  009_OB27 2457698.74764262 276.388450   12.663770 280.713735    6.043316 301.543996   10.087932 296.383769    5.324016 272.805322    5.203054 254.766164   10.295684 282.261618    2.827352 15.456964
    27  009_OB28 2457724.70696387 271.019196    7.835430 276.296429    6.230570 289.206602    6.893194 279.847271    4.577405 271.098492    4.293303 258.624533    6.110289 274.210961    2.283030  9.342413
    28  009_OB29 2457726.70982698 228.255947    9.378630 265.408246    7.768656 259.661687    7.819422 272.251452    6.549096 259.147458    6.249556 231.534855   10.818676 257.482174    3.134873 16.729555
